Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage
Eni,Energy,Oil & Gas Operations,Europe,Italy,90.9,152.7,6.9,186.6,39,http://www.forbes.com/companies/eni/
Procter & Gamble,Consumer Staples,Household/Personal Care,North America,United States,217.8,84.7,10.9,142.9,40,http://www.forbes.com/companies/procter-gamble/
Johnson & Johnson,Health Care,Medical Equipment & Supplies,North America,United States,277,71.3,13.8,132.7,41,http://www.forbes.com/companies/johnson-johnson/
American International Group,Financials,Diversified Insurance,North America,United States,73.2,68.1,9.1,540.7,42,http://www.forbes.com/companies/american-international-group/
Banco Santander,Financials,Major Banks,Europe,Spain,112.3,52.5,5.8,1537.3,43,http://www.forbes.com/companies/banco-santander/
BHP Billiton,Materials,Diversified Metals & Mining,Australia,Australia,182.3,67.7,14.8,151,44,http://www.forbes.com/companies/bhp-billiton/
Pfizer,Health Care,Pharmaceuticals,North America,United States,203.9,52.7,22,172.1,45,http://www.forbes.com/companies/pfizer/
Itaú Unibanco Holding,Financials,Major Banks,South America,Brazil,74.9,67.2,7.6,435.4,46,http://www.forbes.com/companies/itau-unibanco-holding/
Ford Motor,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,64.5,146.9,7.2,202,47,http://www.forbes.com/companies/ford-motor/
BMW Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,83.4,101,7.1,190.7,48,http://www.forbes.com/companies/bmw-group/
Commonwealth Bank,Financials,Major Banks,Australia,Australia,114.5,41.5,7.9,699.9,49,http://www.forbes.com/companies/commonwealth-bank/
EDF,Utilities,Electric Utilities,Europe,France,75.8,100.4,4.5,353.9,50,http://www.forbes.com/companies/edf/
Statoil,Energy,Oil & Gas Operations,Europe,Norway,89.2,105.2,6.8,146,51,http://www.forbes.com/companies/statoil/
Google,Information Technology,Computer Services,North America,United States,382.5,59.7,12.2,110.9,52,http://www.forbes.com/companies/google/
Siemens,Industrials,Conglomerates,Europe,Germany,114.2,99.7,6,140.1,53,http://www.forbes.com/companies/siemens/
Novartis,Health Care,Pharmaceuticals,Europe,Switzerland,227.4,57.9,9.2,126.3,54,http://www.forbes.com/companies/novartis/
Royal Bank of Canada,Financials,Major Banks,North America,Canada,95.7,37.8,8,811.4,55,http://www.forbes.com/companies/royal-bank-of-canada/
Sumitomo Mitsui Financial,Financials,Major Banks,Asia,Japan,58.6,46.2,9.7,1494.7,56,http://www.forbes.com/companies/sumitomo-mitsui-financial/
Comcast,Consumer Discretionary,Broadcasting & Cable,North America,United States,130,64.7,6.8,158.8,57,http://www.forbes.com/companies/comcast/
Sberbank,Financials,Regional Banks,Asia,Russia,51.5,56.5,11.4,554.2,58,http://www.forbes.com/companies/sberbank/
Goldman Sachs Group,Financials,Investment Services,North America,United States,75.1,39.5,8,911.5,59,http://www.forbes.com/companies/goldman-sachs-group/
Westpac Banking Group,Financials,Major Banks,Australia,Australia,99,38.4,6.8,651.4,60,http://www.forbes.com/companies/westpac-banking/
Nippon Telegraph & Tel,Telecommunication Services,Telecommunications services,Asia,Japan,61,110.7,5.7,189.3,61,http://www.forbes.com/companies/nippon-tel-tel/
Ping An Insurance Group,Financials,Diversified Insurance,Asia,China,66.1,59,4.6,552.8,62,http://www.forbes.com/companies/ping-an-insurance/
Banco Bradesco,Financials,Regional Banks,South America,Brazil,58.5,74.1,5.6,384.9,63,http://www.forbes.com/companies/banco-bradesco/
Anheuser-Busch InBev,Consumer Staples,Beverages,Europe,Belgium,171.2,43.2,14.5,141.7,64,http://www.forbes.com/companies/anheuser-busch-inbev/
Bank of Communications,Financials,Major Banks,Asia,China,48.7,46.6,10.1,942.2,65,http://www.forbes.com/companies/bank-of-communications/
China Life Insurance,Financials,Life & Health Insurance,Asia,China,79.8,68.4,4,327.2,66,http://www.forbes.com/companies/china-life-insurance/
General Motors,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,54.6,155.4,5.3,166.3,67,http://www.forbes.com/companies/general-motors/
Telefónica,Telecommunication Services,Telecommunications services,Europe,Spain,71.8,75.8,6.1,163.8,68,http://www.forbes.com/companies/telefonica/
MetLife,Financials,Diversified Insurance,North America,United States,60,71,3.4,885.3,69,http://www.forbes.com/companies/metlife/
Honda Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,63,117.7,4.9,147.9,70,http://www.forbes.com/companies/honda-motor/
Enel,Utilities,Electric Utilities,Europe,Italy,53.2,106.3,4.3,226.2,71,http://www.forbes.com/companies/enel/
BASF,Materials,Diversified Chemicals,Europe,Germany,102.3,98.2,6.4,88.7,72,http://www.forbes.com/companies/basf/
Softbank,Telecommunication Services,Telecommunications services,Asia,Japan,91.2,55.6,5.8,156.6,73,http://www.forbes.com/companies/softbank/
National Australia Bank,Financials,Major Banks,Australia,Australia,75.3,36.9,5.4,755.9,74,http://www.forbes.com/companies/national-australia-bank/
ANZ,Financials,Major Banks,Australia,Australia,83.9,34,6.2,659.7,75,http://www.forbes.com/companies/anz/
TD Bank Group,Financials,Major Banks,North America,Canada,86.2,31.3,6.6,815.2,76,http://www.forbes.com/companies/td-bank-group/
ConocoPhillips,Energy,Oil & Gas Operations,North America,United States,86.3,55.6,9.2,118.1,76,http://www.forbes.com/companies/conocophillips/
Intel,Information Technology,Semiconductors,North America,United States,129.2,52.7,9.6,92.4,78,http://www.forbes.com/companies/intel/
UBS,Financials,Investment Services,Europe,Switzerland,81,39.7,3.4,1135.5,79,http://www.forbes.com/companies/ubs/
Hewlett-Packard,Information Technology,Computer Hardware,North America,United States,63,112.1,5.3,105,80,http://www.forbes.com/companies/hewlett-packard/
Coca-Cola,Consumer Staples,Beverages,North America,United States,168.7,46.3,8.5,91.3,81,http://www.forbes.com/companies/coca-cola/
Cisco Systems,Information Technology,Communications Equipment,North America,United States,119,47.9,8.2,98.4,82,http://www.forbes.com/companies/cisco-systems/
LukOil,Energy,Oil & Gas Operations,Asia,Russia,47.7,119.2,7.8,109.4,83,http://www.forbes.com/companies/lukoil/
Boeing,Industrials,Aerospace & Defense,North America,United States,95.3,86.6,4.6,92.7,84,http://www.forbes.com/companies/boeing/
Zurich Insurance Group,Financials,Diversified Insurance,Europe,Switzerland,45.8,71.9,4,397.1,84,http://www.forbes.com/companies/zurich-insurance-group/
UnitedHealth Group,Health Care,Managed Health Care,North America,United States,81,122.5,5.6,81.9,84,http://www.forbes.com/companies/unitedhealth-group/
Hyundai Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,49.7,79.8,7.8,126.4,87,http://www.forbes.com/companies/hyundai-motor/
Sanofi,Health Care,Pharmaceuticals,Europe,France,137.1,43.7,4.9,132.4,87,http://www.forbes.com/companies/sanofi/
Credit Agricole,Financials,Major Banks,Europe,France,41,65.3,3.3,2117.7,89,http://www.forbes.com/companies/credit-agricole/
United Technologies,Industrials,Conglomerates,North America,United States,108.1,62.7,5.7,90.6,90,http://www.forbes.com/companies/united-technologies/
Roche Holding,Health Care,Pharmaceuticals,Europe,Switzerland,253.7,50.5,12,69.9,90,http://www.forbes.com/companies/roche-holding/
Munich Re,Financials,Diversified Insurance,Europe,Germany,38.9,88,4.4,343.1,92,http://www.forbes.com/companies/munich-re/
PepsiCo,Consumer Staples,Beverages,North America,United States,126.2,66.4,6.7,77.5,93,http://www.forbes.com/companies/pepsico/
Oracle,Information Technology,Software & Programming,North America,United States,185,37.9,11.1,86.6,94,http://www.forbes.com/companies/oracle/
Bank of Nova Scotia,Financials,Major Banks,North America,Canada,71.2,27.7,6.3,702.1,95,http://www.forbes.com/companies/bank-of-nova-scotia/
CVS Caremark,Consumer Staples,Drug Retail,North America,United States,87.8,126.8,4.6,71.5,96,http://www.forbes.com/companies/cvs-caremark/
ING Group,Financials,Life & Health Insurance,Europe,Netherlands,56.1,34.5,4.4,1488.7,97,http://www.forbes.com/companies/ing-group/
Saudi Basic Industries,Materials,Diversified Chemicals,Asia,Saudi Arabia,94.4,50.4,6.7,90.4,98,http://www.forbes.com/companies/saudi-basic-industries/
Merck & Co,Health Care,Pharmaceuticals,North America,United States,165.8,44.1,4.4,105.6,99,http://www.forbes.com/companies/merck-co/
Walt Disney,Consumer Discretionary,Broadcasting & Cable,North America,United States,142.9,46,6.6,83.2,100,http://www.forbes.com/companies/walt-disney/
Mizuho Financial,Financials,Major Banks,Asia,Japan,48.7,28.5,7.5,1791.6,101,http://www.forbes.com/companies/mizuho-financial/
China Merchants Bank,Financials,Major Banks,Asia,China,45.2,32.2,8.1,634.7,102,http://www.forbes.com/companies/china-merchants-bank/
Société Générale,Financials,Major Banks,Europe,France,50,45.6,2.9,1702.1,103,http://www.forbes.com/companies/societe-generale/
American Express,Financials,Consumer Financial Services,North America,United States,96.9,34.9,5.3,155.9,104,http://www.forbes.com/companies/american-express/
Banco do Brasil,Financials,Major Banks,South America,Brazil,28.3,68.6,7.3,552.7,104,http://www.forbes.com/companies/banco-do-brasil/
Morgan Stanley,Financials,Investment Services,North America,United States,61.7,40.8,2.8,832.7,106,http://www.forbes.com/companies/morgan-stanley/
Prudential,Financials,Life & Health Insurance,Europe,United Kingdom,56.1,81.9,2.1,528.5,107,http://www.forbes.com/companies/prudential/
CNOOC,Energy,Oil & Gas Operations,Asia,Hong Kong,67.2,43,10.6,102.7,108,http://www.forbes.com/companies/cnooc/
Rio Tinto,Materials,Diversified Metals & Mining,Europe,United Kingdom,103.8,51.2,3.7,111,109,http://www.forbes.com/companies/rio-tinto/
Unilever,Consumer Staples,Food Processing,Europe,Netherlands,124.5,66.1,6.4,62.7,110,http://www.forbes.com/companies/unilever/
Nissan Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,40.2,104,3.9,137.2,111,http://www.forbes.com/companies/nissan-motor/
Credit Suisse Group,Financials,Investment Services,Europe,Switzerland,52.3,39.5,2.8,981.2,112,http://www.forbes.com/companies/credit-suisse-group/
E.ON,Utilities,Electric Utilities,Europe,Germany,37.6,162.6,2.8,180.1,113,http://www.forbes.com/companies/eon/
Generali Group,Financials,Diversified Insurance,Europe,Italy,34.5,100.5,2.5,602.8,114,http://www.forbes.com/companies/generali-group/
América Móvil,Telecommunication Services,Telecommunications services,North America,Mexico,70.9,61.6,5.8,79,115,http://www.forbes.com/companies/america-movil/
GlaxoSmithKline,Health Care,Pharmaceuticals,Europe,United Kingdom,128.8,41.4,8.5,69.7,116,http://www.forbes.com/companies/glaxosmithkline/
Schlumberger,Energy,Oil Services & Equipment,North America,United States,128,45.4,6.7,67.1,117,http://www.forbes.com/companies/schlumberger/
BBVA-Banco Bilbao Vizcaya,Financials,Major Banks,Europe,Spain,71,28.2,3,802.8,118,http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/
Nordea Bank,Financials,Regional Banks,Europe,Sweden,58,25.6,4.1,868.7,119,http://www.forbes.com/companies/nordea-bank/
Bayer,Materials,Diversified Chemicals,Europe,Germany,111.3,53.3,4.2,70.7,120,http://www.forbes.com/companies/bayer/
China Minsheng Banking,Financials,Regional Banks,Asia,China,33.6,34.1,6.8,541.2,121,http://www.forbes.com/companies/china-minsheng-banking/
Caterpillar,Industrials,Heavy Equipment,North America,United States,63.7,55.7,3.8,84.9,122,http://www.forbes.com/companies/caterpillar/
Standard Chartered,Financials,Major Banks,Europe,United Kingdom,51.1,25.6,4.1,674.4,123,http://www.forbes.com/companies/standard-chartered/
China Shenhua Energy,Materials,Diversified Metals & Mining,Asia,China,57.6,42.8,7.2,80.4,124,http://www.forbes.com/companies/china-shenhua-energy/
US Bancorp,Financials,Major Banks,North America,United States,78.2,20.2,5.8,364,125,http://www.forbes.com/companies/us-bancorp/
Mitsubishi Corp,Industrials,Trading Companies,Asia,Japan,30.5,74.8,4.4,146.5,126,http://www.forbes.com/companies/mitsubishi-corp/
Dow Chemical,Materials,Diversified Chemicals,North America,United States,60.1,57.1,4.8,69.5,127,http://www.forbes.com/companies/dow-chemical/
Ecopetrol,Energy,Oil & Gas Operations,South America,Colombia,83.6,37.7,7,68.5,128,http://www.forbes.com/companies/ecopetrol/
Industrial Bank,Financials,Regional Banks,Asia,China,28.8,32.7,6.7,593.5,129,http://www.forbes.com/companies/industrial-bank/
Shanghai Pudong Development,Financials,Regional Banks,Asia,China,29.2,31.7,6.7,607.9,130,http://www.forbes.com/companies/shanghai-pudong-development/
EADS,Industrials,Aerospace & Defense,Europe,France,56.9,78.7,1.9,128.6,131,http://www.forbes.com/companies/eads/
Swiss Re,Financials,Diversified Insurance,Europe,Switzerland,34.7,36.8,4.4,205.2,132,http://www.forbes.com/companies/swiss-re/
Iberdrola,Utilities,Electric Utilities,Europe,Spain,44.1,43.6,3.4,127.3,133,http://www.forbes.com/companies/iberdrola/
China Citic Bank,Financials,Regional Banks,Asia,China,32.5,27.8,5.7,555.6,134,http://www.forbes.com/companies/china-citic-bank/
Reliance Industries,Energy,Oil & Gas Operations,Asia,India,50.9,72.8,3.8,67.2,135,http://www.forbes.com/companies/reliance-industries/
Hutchison Whampoa,Industrials,Conglomerates,Asia,Hong Kong,57.8,33,4,105.2,136,http://www.forbes.com/companies/hutchison-whampoa/
Home Depot,Consumer Discretionary,Home Improvement Retail,North America,United States,109.7,78.8,5.4,40.5,137,http://www.forbes.com/companies/home-depot/
Hitachi,Information Technology,Electronics,Asia,Japan,36.2,95.7,2.6,104.7,138,http://www.forbes.com/companies/hitachi/
Hon Hai Precision,Information Technology,Electronics,Asia,Taiwan,37.3,127.2,3.4,68.2,139,http://www.forbes.com/companies/hon-hai-precision/
Phillips 66,Energy,Oil & Gas Operations,North America,United States,46.8,157.9,3.7,51,140,http://www.forbes.com/companies/phillips-66/
Capital One Financial,Financials,Consumer Financial Services,North America,United States,44,24.2,4.1,298.5,141,http://www.forbes.com/companies/capital-one-financial/
Møller-Maersk,Industrials,Other Transportation,Europe,Denmark,51.7,47.4,3.6,74.5,142,http://www.forbes.com/companies/moller-maersk/
Aviva,Financials,Life & Health Insurance,Europe,United Kingdom,24.1,53.8,3.1,449.9,143,http://www.forbes.com/companies/aviva/
France Telecom,Telecommunication Services,Telecommunications services,Europe,France,39,54.4,2.5,118.3,144,http://www.forbes.com/companies/france-telecom/
Deutsche Telekom,Telecommunication Services,Telecommunications services,Europe,Germany,71.2,79.8,1.2,162.8,145,http://www.forbes.com/companies/deutsche-telekom/
Bank of Montreal,Financials,Major Banks,North America,Canada,43.3,20.1,4,531.6,146,http://www.forbes.com/companies/bank-of-montreal/
VINCI,Industrials,Construction Services,Europe,France,44.2,54.1,2.6,86.9,147,http://www.forbes.com/companies/vinci/
Mondelēz International,Consumer Staples,Food Processing,North America,United States,59.2,35.3,3.9,72.6,148,http://www.forbes.com/companies/mondelez-international/
Suncor Energy,Energy,Oil & Gas Operations,North America,Canada,51.5,38.4,3.8,73.7,149,http://www.forbes.com/companies/suncor-energy/
China Telecom,Telecommunication Services,Telecommunications services,Asia,China,37.4,52.3,2.9,89.7,150,http://www.forbes.com/companies/china-telecom/
Occidental Petroleum,Energy,Oil & Gas Operations,North America,United States,75,24.4,5.9,70.9,151,http://www.forbes.com/companies/occidental-petroleum/
"Twenty-First Century Fox, Inc.",,,North America,United States,74.6,32,4.9,53.3,152,http://www.forbes.com/companies/twenty-first-century-fox-inc/
Mitsui & Co,Industrials,Trading Companies,Asia,Japan,25.6,58.1,3.6,106.7,153,http://www.forbes.com/companies/mitsui-co/
Qualcomm,Information Technology,Semiconductors,North America,United States,135.5,25.5,6.8,46.3,154,http://www.forbes.com/companies/qualcomm/
State Bank of India,Financials,Regional Banks,Asia,India,23.6,37.1,3.3,376.8,155,http://www.forbes.com/companies/state-bank-of-india/
Time Warner,Consumer Discretionary,Broadcasting & Cable,North America,United States,58.9,29.8,3.6,69.9,156,http://www.forbes.com/companies/time-warner/
Philip Morris International,Consumer Staples,Tobacco,North America,United States,130.3,30.9,8.6,38.2,157,http://www.forbes.com/companies/philip-morris-international/
Honeywell International,Industrials,Conglomerates,North America,United States,72.9,39.1,3.9,45.4,158,http://www.forbes.com/companies/honeywell-international/
Express Scripts,Health Care,Healthcare Services,North America,United States,59,104.2,1.8,53.5,158,http://www.forbes.com/companies/express-scripts/
United Parcel Service,Industrials,Air Courier,North America,United States,89.6,55.5,4.4,36.2,160,http://www.forbes.com/companies/united-parcel-service/
Barclays,Financials,Major Banks,Europe,United Kingdom,64.6,55,0.8,2173.4,160,http://www.forbes.com/companies/barclays/
PNC Financial Services,Financials,Regional Banks,North America,United States,46.6,16.5,4.2,324.1,162,http://www.forbes.com/companies/pnc-financial-services/
Deutsche Post,Industrials,Air Courier,Europe,Germany,45.4,73.1,2.8,48.9,163,http://www.forbes.com/companies/deutsche-post/
AIA Group,Financials,Life & Health Insurance,Asia,Hong Kong,58,20.7,2.8,145.2,164,http://www.forbes.com/companies/aia-group/
Duke Energy,Utilities,Electric Utilities,North America,United States,49.9,24.6,2.7,114.8,165,http://www.forbes.com/companies/duke-energy/
Delta Air Lines,Industrials,Airline,North America,United States,30.4,37.7,10.5,59.4,166,http://www.forbes.com/companies/delta-air-lines/
Deutsche Bank,Financials,Major Banks,Europe,Germany,46.5,61.1,0.9,2220.4,167,http://www.forbes.com/companies/deutsche-bank/
National Grid,Utilities,Natural Gas Utilities,Europe,United Kingdom,49.6,23.4,3.9,83.9,168,http://www.forbes.com/companies/national-grid/
ABB,Industrials,Conglomerates,Europe,Switzerland,60,41.8,2.8,48.4,169,http://www.forbes.com/companies/abb/
Amgen,Health Care,Biotechs,North America,United States,95.2,18.7,5.1,66.1,170,http://www.forbes.com/companies/amgen/
EI du Pont de Nemours,Materials,Diversified Chemicals,North America,United States,62.1,35.9,2.9,51.5,171,http://www.forbes.com/companies/ei-du-pont-de-nemours/
L'Oréal Group,Consumer Staples,Household/Personal Care,Europe,France,98.7,30.5,3.9,43.1,172,http://www.forbes.com/companies/loreal-group/
Manulife Financial,Financials,Life & Health Insurance,North America,Canada,36,17.6,3,467,173,http://www.forbes.com/companies/manulife-financial/
British American Tobacco,Consumer Staples,Tobacco,Europe,United Kingdom,104.3,23.9,6.1,44.5,173,http://www.forbes.com/companies/british-american-tobacco/
SAIC Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,24.7,88.3,4,56.4,175,http://www.forbes.com/companies/saic-motor/
Oil & Natural Gas,Energy,Oil & Gas Operations,Asia,India,46.4,29.6,4.5,53.8,176,http://www.forbes.com/companies/oil-natural-gas/
Walgreen,Consumer Staples,Drug Retail,North America,United States,62.8,74.2,2.7,37.1,177,http://www.forbes.com/companies/walgreen/
KDDI,Telecommunication Services,Telecommunications services,Asia,Japan,46.9,42.3,3.4,46.1,178,http://www.forbes.com/companies/kddi/
Valero Energy,Energy,Oil & Gas Operations,North America,United States,29.6,138.1,2.7,47.3,179,http://www.forbes.com/companies/valero-energy/
PTT PCL,Energy,Oil & Gas Operations,Asia,Thailand,26.7,92.5,3.1,54.8,180,http://www.forbes.com/companies/ptt-pcl/
Travelers Cos,Financials,Property & Casualty Insurance,North America,United States,29.7,26.2,3.6,105.6,181,http://www.forbes.com/companies/travelers-cos/
Canadian Imperial Bank,Financials,Major Banks,North America,Canada,34.4,16.7,3.6,359.6,182,http://www.forbes.com/companies/canadian-imperial-bank/
AstraZeneca,Health Care,Pharmaceuticals,Europe,United Kingdom,82.3,25.7,2.6,55.9,183,http://www.forbes.com/companies/astrazeneca/
Deere & Co,Industrials,Heavy Equipment,North America,United States,33.8,38,3.6,57.7,184,http://www.forbes.com/companies/deere-co/
Union Pacific,Industrials,Railroads,North America,United States,85.8,22,4.4,49.7,185,http://www.forbes.com/companies/union-pacific/
McDonald's,Consumer Discretionary,Restaurants,North America,United States,96.9,28.1,5.6,36.6,186,http://www.forbes.com/companies/mcdonalds/
WellPoint,Health Care,Managed Health Care,North America,United States,28,71.5,2.5,59.6,187,http://www.forbes.com/companies/wellpoint/
Aflac,Financials,Life & Health Insurance,North America,United States,28.8,24.1,3.2,124.3,188,http://www.forbes.com/companies/aflac/
Tokio Marine Holdings,Financials,Property & Casualty Insurance,Asia,Japan,23,42.7,2,181.2,189,http://www.forbes.com/companies/tokio-marine-holdings/
Taiwan Semiconductor,Information Technology,Semiconductors,Asia,Taiwan,102,20.1,6.3,42.4,190,http://www.forbes.com/companies/taiwan-semiconductor/
Legal & General Group,Financials,Life & Health Insurance,Europe,United Kingdom,20.8,61.2,1.4,596.7,191,http://www.forbes.com/companies/legal-general-group/
Christian Dior,Consumer Discretionary,Apparel/Accessories,Europe,France,34.4,38.4,1.8,82.9,192,http://www.forbes.com/companies/christian-dior/
China Unicom,Telecommunication Services,Telecommunications services,Asia,Hong Kong,31.6,48,1.7,87.5,193,http://www.forbes.com/companies/china-unicom/
3M,Industrials,Conglomerates,North America,United States,89.8,30.9,4.7,33.6,194,http://www.forbes.com/companies/3m/
Allstate,Financials,Diversified Insurance,North America,United States,25.3,34.2,2.3,123.5,195,http://www.forbes.com/companies/allstate/
Schneider Electric,Industrials,Electrical Equipment,Europe,France,50.7,31.3,2.5,51,196,http://www.forbes.com/companies/schneider-electric/
DNB,Financials,Regional Banks,Europe,Norway,28.6,16.8,3,393.9,197,http://www.forbes.com/companies/dnb/
Lockheed Martin,Industrials,Aerospace & Defense,North America,United States,52.3,45.4,3,36.2,198,http://www.forbes.com/companies/lockheed-martin/
Surgutneftegas,Energy,Oil & Gas Operations,Asia,Russia,26.5,26.9,5.8,68.8,198,http://www.forbes.com/companies/surgutneftegas/
Target,Consumer Discretionary,Discount Stores,North America,United States,38.4,72.6,2,44.6,200,http://www.forbes.com/companies/target/
ACE,Financials,Diversified Insurance,Europe,Switzerland,33.4,18.9,3.8,96.3,201,http://www.forbes.com/companies/ace/
Denso,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,42.4,41.3,2.8,41.3,202,http://www.forbes.com/companies/denso/
Nomura Holdings,Financials,Investment Services,Asia,Japan,23.7,21.5,2.4,415.2,203,http://www.forbes.com/companies/nomura-holdings/
Nippon Steel & Sumitomo Metal,Materials,Iron & Steel,Asia,Japan,25.3,54.8,2.3,67.5,204,http://www.forbes.com/companies/nippon-steel-sumitomo-metal/
Wesfarmers,Consumer Staples,Food Retail,Australia,Australia,43.5,58.5,2.3,39.3,205,http://www.forbes.com/companies/wesfarmers/
China Everbright Bank,Financials,Regional Banks,Asia,China,18.6,21.2,4.2,404.2,206,http://www.forbes.com/companies/china-everbright-bank/
SAP,Information Technology,Software & Programming,Europe,Germany,97.1,22.3,4.4,37.3,207,http://www.forbes.com/companies/sap/
